Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train1Val_ClinVarHQ,mean,bio_geom,nt_v3_650m,esm1b_650m,Pure_XGBoost_Concat,0.8834,0.9819,0.7787,0.9859,0.8686,0.7829,0.9747,0.978
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_Gating_XGBoost,0.8492,0.8903,0.7931,0.9042,0.8389,0.7022,0.9175,0.9193
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.8478,0.8825,0.7989,0.8958,0.8386,0.6984,0.921,0.924
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,PyTorch_Transformer,0.8421,0.8885,0.7787,0.9042,0.83,0.689,0.9176,0.9175
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_Transformer_XGBoost,0.8421,0.8885,0.7787,0.9042,0.83,0.689,0.9172,0.9205
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_Gating_XGBoost,0.8421,0.8835,0.7845,0.8986,0.8311,0.6881,0.9156,0.9168
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_Concat_XGBoost,0.8407,0.896,0.7672,0.9127,0.8266,0.6879,0.9118,0.9104
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_Concat_XGBoost,0.8407,0.8907,0.773,0.907,0.8277,0.6868,0.923,0.9251
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.8421,0.8692,0.8017,0.8817,0.8341,0.686,0.9186,0.9248
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.8393,0.8803,0.7816,0.8958,0.828,0.6824,0.924,0.928
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.8393,0.866,0.7989,0.8789,0.8311,0.6803,0.92,0.9183
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_Concat_XGBoost,0.8364,0.8923,0.7615,0.9099,0.8217,0.6795,0.9184,0.916
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.8378,0.875,0.7845,0.8901,0.8273,0.6789,0.9181,0.9213
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8364,0.877,0.7787,0.893,0.825,0.6766,0.9051,0.9086
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Gating_XGBoost,0.835,0.8791,0.773,0.8958,0.8226,0.6744,0.9142,0.9165
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.8336,0.8738,0.7759,0.8901,0.8219,0.6709,0.911,0.9117
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Concat,0.8293,0.9043,0.7328,0.9239,0.8095,0.6699,0.9216,0.9228
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8336,0.8598,0.7931,0.8732,0.8251,0.6688,0.9114,0.903
Train1Val_ClinVarHQ,center,prot,,esmc_600m,Hybrid_Concat_XGBoost,0.8321,0.8734,0.773,0.8901,0.8201,0.6682,0.9223,0.9215
Train1Val_ClinVarHQ,center,prot,None,esmc_600m,Hybrid_Concat_XGBoost,0.8321,0.8734,0.773,0.8901,0.8201,0.6682,0.9223,0.9215
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Pure_XGBoost_Concat,0.8307,0.8855,0.7557,0.9042,0.8155,0.668,0.9063,0.9075
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Gating,0.8279,0.9039,0.7299,0.9239,0.8076,0.6674,0.9133,0.9178
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.8293,0.8851,0.7529,0.9042,0.8137,0.6654,0.9056,0.9105
