Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB,FM_GFLOPs/Sample,FM_Latency_ms/Sample,Geom_GFLOPs/Sample,Geom_Latency_ms/Sample,Classifier_GFLOPs/Sample,Classifier_Latency_ms/Sample,Classifier_Total_Params,Classifier_Param_Mem_MB,Classifier_XGB_Model_Mem_MB,Classifier_Peak_VRAM_MB
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train1Val_ClinVarHQ,231.7948,9.85,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train1Val_UniProt,231.7948,9.84,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train1Val_ProteinGym,231.7948,9.87,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train1Val_Test,231.7932,10.02,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train1Val_ClinVarHQ,231.7932,10.37,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train1Val_UniProt,231.7932,10.35,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train1Val_ProteinGym,231.7932,10.36,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train1Val_Test,231.7932,10.03,1140587041,2182.84,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train1Val_ClinVarHQ,231.7932,10.38,1140587041,2182.84,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train1Val_UniProt,231.7932,10.36,1140587041,2182.84,1686.1,,,,,,,,,,
