Dataset,Model,file_path,score_col,rankscore_col,pred_col,resolved_prob_col,resolved_prob_kind,resolved_threshold,pred_source,label_col
proteingym,Polyphen2_HDIV,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['Polyphen2_HDIV_score'],['Polyphen2_HDIV_rankscore'],['Polyphen2_HDIV_pred'],Polyphen2_HDIV_rankscore,rankscore,0.38028,Polyphen2_HDIV_pred,Label
proteingym,Polyphen2_HVAR,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['Polyphen2_HVAR_score'],['Polyphen2_HVAR_rankscore'],['Polyphen2_HVAR_pred'],Polyphen2_HVAR_rankscore,rankscore,0.48762,Polyphen2_HVAR_pred,Label
proteingym,MutationTaster,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MutationTaster_score'],['MutationTaster_rankscore'],['MutationTaster_pred'],MutationTaster_rankscore,rankscore,0.31733,MutationTaster_pred,Label
proteingym,MetaSVM,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MetaSVM_score'],['MetaSVM_rankscore'],['MetaSVM_pred'],MetaSVM_rankscore,rankscore,0.82257,MetaSVM_pred,Label
proteingym,MetaLR,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MetaLR_score'],['MetaLR_rankscore'],['MetaLR_pred'],MetaLR_rankscore,rankscore,0.81101,MetaLR_pred,Label
proteingym,MetaRNN,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MetaRNN_score'],['MetaRNN_rankscore'],['MetaRNN_pred'],MetaRNN_rankscore,rankscore,0.6149,MetaRNN_pred,Label
proteingym,M-CAP,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['M-CAP_score'],['M-CAP_rankscore'],['M-CAP_pred'],M-CAP_rankscore,rankscore,0.025,M-CAP_pred,Label
proteingym,REVEL,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['REVEL_score'],['REVEL_rankscore'],['REVEL_pred'],REVEL_rankscore,rankscore,0.5,REVEL_pred,Label
proteingym,MutPred2,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MutPred2_score'],['MutPred2_rankscore'],['MutPred2_pred'],MutPred2_rankscore,rankscore,0.5,MutPred2_pred,Label
proteingym,MVP,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MVP_score'],['MVP_rankscore'],['MVP_pred'],MVP_rankscore,rankscore,0.5,MVP_pred,Label
