Dataset,Network,Ablation,Pooling,DNA_Model,Prot_Model,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
clinvarhq,SOTA_MVP,sota,N/A,N/A,N/A,0.8464,0.797,0.9253,0.769,0.8564,0.7021,0.9539,0.9599
clinvarhq,SOTA_gMVP,sota,N/A,N/A,N/A,0.8421,0.7627,0.9885,0.6986,0.8611,0.7164,0.9669,0.9659
clinvarhq,SOTA_MisFit_D,sota,N/A,N/A,N/A,0.8208,0.7569,0.9397,0.7042,0.8385,0.6614,0.936,0.934
clinvarhq,SOTA_MPC,sota,N/A,N/A,N/A,0.623,0.956,0.25,0.9887,0.3964,0.3556,0.8423,0.8259
clinvarhq,SOTA_PrimateAI,sota,N/A,N/A,N/A,0.6999,0.8513,0.477,0.9183,0.6114,0.4415,0.8529,0.8382
clinvarhq,SOTA_BayesDel_addAF,sota,N/A,N/A,N/A,0.9445,0.9452,0.9425,0.9465,0.9439,0.889,0.9903,0.99
clinvarhq,SOTA_BayesDel_noAF,sota,N/A,N/A,N/A,0.8791,0.8451,0.9253,0.8338,0.8834,0.7617,0.966,0.9648
clinvarhq,SOTA_ClinPred,sota,N/A,N/A,N/A,0.963,0.9448,0.9828,0.9437,0.9634,0.9268,0.9912,0.9866
clinvarhq,SOTA_LIST-S2,sota,N/A,N/A,N/A,0.7667,0.7009,0.9224,0.6141,0.7965,0.5629,0.8739,0.8725
clinvarhq,SOTA_VARITY_R,sota,N/A,N/A,N/A,0.9018,0.878,0.931,0.8732,0.9038,0.8052,0.96,0.9563
clinvarhq,SOTA_VARITY_ER,sota,N/A,N/A,N/A,0.8848,0.9058,0.8563,0.9127,0.8804,0.7705,0.9503,0.9445
clinvarhq,SOTA_AlphaMissense,sota,N/A,N/A,N/A,0.9104,0.8926,0.931,0.8901,0.9114,0.8216,0.9613,0.9517
clinvarhq,SOTA_PHACTboost,sota,N/A,N/A,N/A,0.9047,0.8486,0.9828,0.8282,0.9108,0.8197,0.977,0.9747
clinvarhq,SOTA_MutFormer,sota,N/A,N/A,N/A,0.8649,0.8447,0.8908,0.8394,0.8671,0.7309,0.9427,0.9451
clinvarhq,SOTA_popEVE,sota,N/A,N/A,N/A,0.6046,1.0,0.2011,1.0,0.3349,0.3359,0.8769,0.882
clinvarhq,SOTA_CADD,sota,N/A,N/A,N/A,0.7482,0.668,0.977,0.5239,0.7935,0.5603,0.9129,0.903
clinvarhq,SOTA_DANN,sota,N/A,N/A,N/A,0.6387,0.5786,0.9943,0.2901,0.7315,0.3989,0.8286,0.7825
uniprot,SOTA_SIFT,sota,N/A,N/A,N/A,0.6962,0.646,0.863,0.5306,0.7389,0.4171,0.7886,0.7528
uniprot,SOTA_SIFT4G,sota,N/A,N/A,N/A,0.7187,0.6904,0.7892,0.6487,0.7365,0.4422,0.787,0.753
uniprot,SOTA_Polyphen2_HDIV,sota,N/A,N/A,N/A,0.7082,0.6519,0.8886,0.5291,0.7521,0.4473,0.7939,0.7438
uniprot,SOTA_Polyphen2_HVAR,sota,N/A,N/A,N/A,0.7419,0.6995,0.8449,0.6398,0.7653,0.495,0.8139,0.7807
uniprot,SOTA_MutationTaster,sota,N/A,N/A,N/A,0.8867,0.8577,0.9262,0.8475,0.8907,0.776,0.9369,0.9193
uniprot,SOTA_MetaSVM,sota,N/A,N/A,N/A,0.8185,0.8517,0.7696,0.867,0.8085,0.6397,0.8893,0.882
uniprot,SOTA_MetaLR,sota,N/A,N/A,N/A,0.8102,0.8331,0.7741,0.846,0.8025,0.6218,0.891,0.8783
uniprot,SOTA_MetaRNN,sota,N/A,N/A,N/A,0.7892,0.7266,0.9247,0.6547,0.8138,0.6014,0.9028,0.9046
uniprot,SOTA_M-CAP,sota,N/A,N/A,N/A,0.7592,0.6874,0.9473,0.5725,0.7967,0.5602,0.8806,0.8563
uniprot,SOTA_REVEL,sota,N/A,N/A,N/A,0.8575,0.8703,0.8389,0.8759,0.8543,0.7154,0.9316,0.9199
uniprot,SOTA_MutPred2,sota,N/A,N/A,N/A,0.7532,0.7065,0.863,0.6442,0.7769,0.5196,0.832,0.7952
uniprot,SOTA_MVP,sota,N/A,N/A,N/A,0.8192,0.7958,0.8569,0.7818,0.8252,0.6404,0.8892,0.8542
uniprot,SOTA_gMVP,sota,N/A,N/A,N/A,0.7704,0.7034,0.9322,0.6099,0.8018,0.5722,0.8852,0.8723
uniprot,SOTA_MisFit_D,sota,N/A,N/A,N/A,0.7307,0.6933,0.8238,0.6383,0.7529,0.4701,0.8144,0.8085
uniprot,SOTA_MPC,sota,N/A,N/A,N/A,0.5581,0.8505,0.137,0.9761,0.2361,0.2082,0.7774,0.751
uniprot,SOTA_PrimateAI,sota,N/A,N/A,N/A,0.6084,0.7934,0.2892,0.9253,0.4238,0.2781,0.7745,0.727
uniprot,SOTA_BayesDel_addAF,sota,N/A,N/A,N/A,0.841,0.8363,0.8464,0.8356,0.8413,0.682,0.9035,0.8902
uniprot,SOTA_BayesDel_noAF,sota,N/A,N/A,N/A,0.856,0.842,0.875,0.8371,0.8582,0.7125,0.917,0.9025
uniprot,SOTA_ClinPred,sota,N/A,N/A,N/A,0.7382,0.6877,0.869,0.6084,0.7678,0.4942,0.8257,0.8138
uniprot,SOTA_LIST-S2,sota,N/A,N/A,N/A,0.7247,0.6854,0.8268,0.6233,0.7495,0.4596,0.7974,0.7612
uniprot,SOTA_VARITY_R,sota,N/A,N/A,N/A,0.7929,0.7913,0.7937,0.7922,0.7925,0.5859,0.8557,0.8213
uniprot,SOTA_VARITY_ER,sota,N/A,N/A,N/A,0.7787,0.8122,0.7229,0.8341,0.7649,0.5606,0.8469,0.8143
uniprot,SOTA_AlphaMissense,sota,N/A,N/A,N/A,0.7899,0.784,0.7982,0.7818,0.791,0.58,0.8561,0.8404
uniprot,SOTA_PHACTboost,sota,N/A,N/A,N/A,0.8365,0.8168,0.866,0.8072,0.8406,0.6742,0.8966,0.862
uniprot,SOTA_MutFormer,sota,N/A,N/A,N/A,0.8005,0.8408,0.7395,0.861,0.7869,0.6051,0.8891,0.8486
uniprot,SOTA_popEVE,sota,N/A,N/A,N/A,0.5386,0.8889,0.0843,0.9895,0.1541,0.1741,0.797,0.782
uniprot,SOTA_CADD,sota,N/A,N/A,N/A,0.7074,0.6451,0.9172,0.4993,0.7575,0.458,0.8345,0.8211
uniprot,SOTA_DANN,sota,N/A,N/A,N/A,0.6062,0.5607,0.9669,0.2481,0.7098,0.3089,0.7751,0.7394
proteingym,SOTA_SIFT,sota,N/A,N/A,N/A,0.7486,0.6685,0.8914,0.6288,0.764,0.5308,0.8661,0.8213
proteingym,SOTA_SIFT4G,sota,N/A,N/A,N/A,0.7731,0.7195,0.8244,0.73,0.7684,0.5529,0.8618,0.8159
proteingym,SOTA_Polyphen2_HDIV,sota,N/A,N/A,N/A,0.7514,0.6649,0.9182,0.6112,0.7712,0.5463,0.8726,0.8144
proteingym,SOTA_Polyphen2_HVAR,sota,N/A,N/A,N/A,0.8023,0.7332,0.8914,0.7275,0.8046,0.6203,0.8973,0.8685
proteingym,SOTA_MutationTaster,sota,N/A,N/A,N/A,0.9192,0.8911,0.9375,0.9038,0.9137,0.8387,0.966,0.9628
proteingym,SOTA_MetaSVM,sota,N/A,N/A,N/A,0.8173,0.7749,0.8452,0.7937,0.8085,0.6366,0.9031,0.8781
proteingym,SOTA_MetaLR,sota,N/A,N/A,N/A,0.7846,0.7273,0.8452,0.7338,0.7818,0.5779,0.8841,0.8787
proteingym,SOTA_MetaRNN,sota,N/A,N/A,N/A,0.8173,0.7207,0.9792,0.6813,0.8303,0.6778,0.9567,0.9486
proteingym,SOTA_M-CAP,sota,N/A,N/A,N/A,0.6501,0.5682,0.9732,0.3787,0.7175,0.4246,0.8768,0.8309
proteingym,SOTA_REVEL,sota,N/A,N/A,N/A,0.873,0.8363,0.8973,0.8525,0.8658,0.7471,0.9459,0.9393
proteingym,SOTA_MutPred2,sota,N/A,N/A,N/A,0.8152,0.7347,0.9315,0.7175,0.8215,0.6548,0.9178,0.892
proteingym,SOTA_MVP,sota,N/A,N/A,N/A,0.8111,0.7385,0.9077,0.73,0.8144,0.6401,0.9221,0.9161
proteingym,SOTA_gMVP,sota,N/A,N/A,N/A,0.7914,0.6927,0.9762,0.6362,0.8104,0.6369,0.9473,0.9377
proteingym,SOTA_MisFit_D,sota,N/A,N/A,N/A,0.767,0.6884,0.8943,0.66,0.778,0.5621,0.8916,0.8798
proteingym,SOTA_MPC,sota,N/A,N/A,N/A,0.7018,0.9206,0.3795,0.9725,0.5374,0.4485,0.8478,0.8261
proteingym,SOTA_PrimateAI,sota,N/A,N/A,N/A,0.7262,0.821,0.5119,0.9062,0.6306,0.4616,0.8428,0.7993
proteingym,SOTA_BayesDel_addAF,sota,N/A,N/A,N/A,0.8723,0.8079,0.9449,0.8113,0.8711,0.7551,0.9513,0.9452
proteingym,SOTA_BayesDel_noAF,sota,N/A,N/A,N/A,0.8553,0.7969,0.9167,0.8037,0.8526,0.7186,0.9388,0.9289
proteingym,SOTA_ClinPred,sota,N/A,N/A,N/A,0.8125,0.7215,0.9598,0.6887,0.8238,0.6615,0.9406,0.9236
proteingym,SOTA_LIST-S2,sota,N/A,N/A,N/A,0.752,0.6719,0.8929,0.6338,0.7668,0.537,0.8626,0.837
proteingym,SOTA_VARITY_R,sota,N/A,N/A,N/A,0.8716,0.8435,0.8824,0.8625,0.8625,0.7429,0.9434,0.9312
proteingym,SOTA_VARITY_ER,sota,N/A,N/A,N/A,0.8607,0.8643,0.8244,0.8912,0.8439,0.719,0.9303,0.915
proteingym,SOTA_AlphaMissense,sota,N/A,N/A,N/A,0.8641,0.8233,0.8943,0.8387,0.8573,0.7303,0.9393,0.9298
proteingym,SOTA_PHACTboost,sota,N/A,N/A,N/A,0.8587,0.7775,0.9673,0.7675,0.8621,0.7388,0.9575,0.9447
proteingym,SOTA_MutFormer,sota,N/A,N/A,N/A,0.7962,0.7541,0.8214,0.775,0.7863,0.5942,0.88,0.8821
proteingym,SOTA_popEVE,sota,N/A,N/A,N/A,0.6583,0.9617,0.2619,0.9912,0.4117,0.3822,0.8835,0.8766
proteingym,SOTA_CADD,sota,N/A,N/A,N/A,0.7269,0.6288,0.9807,0.5138,0.7663,0.5438,0.9097,0.8771
proteingym,SOTA_DANN,sota,N/A,N/A,N/A,0.6189,0.5455,0.9911,0.3063,0.7036,0.3938,0.8268,0.7492
