Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.8193,0.84,0.7845,0.8535,0.8113,0.6398,0.9085,0.8995
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_CrossAttn,0.8193,0.8318,0.796,0.8423,0.8135,0.6391,0.9006,0.9006
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.8193,0.826,0.8046,0.8338,0.8151,0.6388,0.889,0.8931
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,PyTorch_Transformer,0.8179,0.8395,0.7816,0.8535,0.8095,0.6371,0.884,0.8818
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_Gating_XGBoost,0.8179,0.8235,0.8046,0.831,0.814,0.6359,0.901,0.8997
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Pure_XGBoost_Concat,0.8165,0.8328,0.7874,0.8451,0.8095,0.6337,0.8943,0.904
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.8165,0.8308,0.7902,0.8423,0.81,0.6335,0.8964,0.9064
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Hybrid_Concat_XGBoost,0.8165,0.8269,0.796,0.8366,0.8111,0.6333,0.8819,0.8677
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Hybrid_CrossAttn_XGBoost,0.8165,0.8249,0.7989,0.8338,0.8117,0.6332,0.8911,0.8873
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Transformer,0.8122,0.875,0.7241,0.8986,0.7925,0.6331,0.8999,0.906
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_Transformer,0.8151,0.8406,0.773,0.8563,0.8054,0.6318,0.8791,0.8925
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,PyTorch_Gating,0.8151,0.8344,0.7816,0.8479,0.8071,0.6311,0.8844,0.8757
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Concat,0.8151,0.8323,0.7845,0.8451,0.8077,0.6309,0.8893,0.8932
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Pure_XGBoost_Concat,0.8151,0.8283,0.7902,0.8394,0.8088,0.6306,0.8825,0.8738
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Hybrid_Concat_XGBoost,0.8151,0.8206,0.8017,0.8282,0.811,0.6302,0.8833,0.8747
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Pure_XGBoost_Concat,0.8151,0.815,0.8103,0.8197,0.8127,0.6301,0.8955,0.8961
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Transformer,0.8137,0.8338,0.7787,0.8479,0.8053,0.6284,0.8945,0.8937
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Hybrid_CrossAttn_XGBoost,0.8137,0.8278,0.7874,0.8394,0.8071,0.6278,0.8955,0.8882
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_Gating_XGBoost,0.8137,0.8201,0.7989,0.8282,0.8093,0.6274,0.8848,0.8687
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Concat_XGBoost,0.8137,0.8145,0.8075,0.8197,0.811,0.6273,0.8951,0.8984
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.8137,0.8091,0.8161,0.8113,0.8126,0.6273,0.8919,0.8971
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,PyTorch_Concat,0.8122,0.8439,0.7615,0.862,0.8006,0.627,0.8849,0.8778
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Transformer,0.8108,0.8548,0.7443,0.8761,0.7957,0.6263,0.8884,0.8817
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_CrossAttn,0.8094,0.8639,0.7299,0.8873,0.7913,0.6256,0.8816,0.8907
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,PyTorch_CrossAttn,0.8122,0.8273,0.7845,0.8394,0.8053,0.6251,0.883,0.8928
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_CrossAttn_XGBoost,0.8122,0.8253,0.7874,0.8366,0.8059,0.6249,0.891,0.8768
Train3Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,Pure_XGBoost_Concat,0.8108,0.7882,0.8448,0.7775,0.8155,0.6234,0.8833,0.8838
Train3Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.8108,0.7898,0.842,0.7803,0.815,0.6232,0.8872,0.8861
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Concat,0.8108,0.8308,0.7759,0.8451,0.8024,0.6227,0.885,0.8822
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_Concat_XGBoost,0.8051,0.8809,0.7011,0.907,0.7808,0.6223,0.8903,0.8937
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8108,0.7978,0.8276,0.7944,0.8124,0.6221,0.8817,0.8828
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_Gating_XGBoost,0.8108,0.819,0.7931,0.8282,0.8058,0.6218,0.8961,0.9057
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.8108,0.819,0.7931,0.8282,0.8058,0.6218,0.8827,0.8921
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8108,0.8063,0.8132,0.8085,0.8097,0.6216,0.8891,0.8919
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,PyTorch_Concat,0.808,0.8515,0.7414,0.8732,0.7926,0.6205,0.8885,0.9025
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Gating,0.8094,0.8323,0.7701,0.8479,0.8,0.6202,0.8905,0.8971
Train3Val_ClinVarHQ,mean,prot,,esm1b_650m,PyTorch_Concat,0.8094,0.8223,0.7845,0.8338,0.8029,0.6192,0.8907,0.8794
Train3Val_ClinVarHQ,mean,prot,None,esm1b_650m,PyTorch_Concat,0.8094,0.8223,0.7845,0.8338,0.8029,0.6192,0.8907,0.8794
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.8094,0.8023,0.8161,0.8028,0.8091,0.6189,0.8883,0.8924
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,PyTorch_Transformer,0.8051,0.8651,0.7184,0.8901,0.7849,0.6184,0.8858,0.8714
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,PyTorch_Gating,0.808,0.8339,0.7644,0.8507,0.7976,0.6177,0.8911,0.8808
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_Gating,0.8009,0.8852,0.6868,0.9127,0.7735,0.6162,0.8956,0.9029
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.808,0.8034,0.8103,0.8056,0.8069,0.6159,0.8905,0.8985
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.808,0.8105,0.7989,0.8169,0.8046,0.6159,0.8927,0.898
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_Transformer,0.798,0.8992,0.6667,0.9268,0.7657,0.6156,0.8872,0.8977
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,PyTorch_Gating,0.8065,0.8354,0.7586,0.8535,0.7952,0.6153,0.8823,0.8793
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_Concat,0.8023,0.8667,0.7098,0.893,0.7804,0.6138,0.8823,0.896
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_Concat_XGBoost,0.8065,0.8136,0.7902,0.8225,0.8017,0.6132,0.8948,0.8871
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8065,0.8118,0.7931,0.8197,0.8023,0.6131,0.8921,0.9025
Train3Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Concat,0.8065,0.8081,0.7989,0.8141,0.8035,0.613,0.8894,0.8776
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8051,0.8006,0.8075,0.8028,0.804,0.6103,0.8846,0.8939
Train3Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8051,0.8058,0.7989,0.8113,0.8023,0.6102,0.8759,0.8739
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,PyTorch_CrossAttn,0.8037,0.8221,0.7701,0.8366,0.7953,0.6083,0.8771,0.8728
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Concat,0.798,0.8732,0.6925,0.9014,0.7724,0.6081,0.8829,0.8952
Train3Val_ClinVarHQ,center,prot,,esmc_600m,PyTorch_Concat,0.7966,0.881,0.681,0.9099,0.7682,0.6078,0.8894,0.8933
Train3Val_ClinVarHQ,center,prot,None,esmc_600m,PyTorch_Concat,0.7966,0.881,0.681,0.9099,0.7682,0.6078,0.8894,0.8933
Train3Val_ClinVarHQ,cls,dna_geom_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.8037,0.8144,0.7816,0.8254,0.7977,0.6077,0.8896,0.8882
Train3Val_ClinVarHQ,mean,dna_prot,nt_v3_650m,esm2_650m,PyTorch_Concat,0.8037,0.8107,0.7874,0.8197,0.7988,0.6075,0.8752,0.8617
Train3Val_ClinVarHQ,mean,dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.8023,0.836,0.7471,0.8563,0.7891,0.6075,0.89,0.8828
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8037,0.807,0.7931,0.8141,0.8,0.6074,0.8856,0.8822
