Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.936,0.9633,0.9052,0.9662,0.9333,0.8735,0.9867,0.9874
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,Pure_XGBoost_Concat,0.9331,0.9574,0.9052,0.9606,0.9306,0.8675,0.9837,0.9841
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,Hybrid_Concat_XGBoost,0.9317,0.9491,0.9109,0.9521,0.9296,0.8641,0.9793,0.9794
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.9303,0.9572,0.8994,0.9606,0.9274,0.862,0.987,0.9875
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,Hybrid_Gating_XGBoost,0.9275,0.9486,0.9023,0.9521,0.9249,0.8558,0.9761,0.9771
Train3Val_ClinVarHQ,cls,bio_geom,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.926,0.9485,0.8994,0.9521,0.9233,0.8531,0.9795,0.9816
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.926,0.9431,0.9052,0.9465,0.9238,0.8527,0.9833,0.9843
Train3Val_ClinVarHQ,mean,bio_geom,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.926,0.9431,0.9052,0.9465,0.9238,0.8527,0.98,0.9814
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,Pure_XGBoost_Concat,0.9246,0.9538,0.8908,0.9577,0.9212,0.8509,0.9833,0.9837
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.9246,0.9511,0.8937,0.9549,0.9215,0.8506,0.9828,0.983
Train3Val_ClinVarHQ,center,bio_geom,nt_v1_500m,esmc_600m,Pure_XGBoost_Concat,0.9218,0.9426,0.8966,0.9465,0.919,0.8444,0.9793,0.9808
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.9175,0.9475,0.8822,0.9521,0.9137,0.8368,0.9752,0.9764
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.9161,0.9392,0.8879,0.9437,0.9129,0.8333,0.9773,0.978
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.9147,0.9472,0.8764,0.9521,0.9104,0.8314,0.978,0.9786
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.9147,0.9472,0.8764,0.9521,0.9104,0.8314,0.9774,0.9776
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,PyTorch_Transformer,0.9132,0.9362,0.8851,0.9408,0.9099,0.8276,0.9736,0.9737
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,PyTorch_Gating,0.9118,0.9525,0.8649,0.9577,0.9066,0.8269,0.9759,0.976
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.9118,0.9469,0.8707,0.9521,0.9072,0.8261,0.9774,0.9769
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.9118,0.9333,0.8851,0.938,0.9086,0.8246,0.9748,0.9744
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.9104,0.9439,0.8707,0.9493,0.9058,0.823,0.976,0.9764
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Gating,0.909,0.941,0.8707,0.9465,0.9045,0.82,0.9761,0.9747
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.909,0.9329,0.8793,0.938,0.9053,0.8191,0.9755,0.9759
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.9075,0.9492,0.8592,0.9549,0.902,0.8185,0.9771,0.9762
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Gating,0.9033,0.9516,0.8477,0.9577,0.8967,0.8111,0.9719,0.9718
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.9033,0.9375,0.8621,0.9437,0.8982,0.8089,0.9736,0.9733
Train3Val_ClinVarHQ,mean,bio_geom,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.9004,0.9603,0.8333,0.9662,0.8923,0.8075,0.9722,0.972
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,PyTorch_CrossAttn,0.9004,0.9542,0.8391,0.9606,0.893,0.8064,0.9755,0.9751
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.9018,0.9346,0.8621,0.9408,0.8969,0.8059,0.9739,0.9746
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.9004,0.9455,0.8477,0.9521,0.8939,0.8049,0.9731,0.9732
Train3Val_ClinVarHQ,center,bio_dna_prot,nt_v1_500m,esmc_600m,PyTorch_Concat,0.9004,0.9427,0.8506,0.9493,0.8943,0.8044,0.9747,0.9745
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.8976,0.951,0.8362,0.9577,0.8899,0.8007,0.969,0.97
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.8962,0.9508,0.8333,0.9577,0.8882,0.7981,0.9753,0.9753
Train3Val_ClinVarHQ,cls,bio_geom,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.8919,0.9626,0.8132,0.969,0.8816,0.7929,0.9719,0.9731
Train3Val_ClinVarHQ,mean,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.8919,0.9595,0.8161,0.9662,0.882,0.7922,0.9777,0.9761
Train3Val_ClinVarHQ,center,bio_geom,nt_v1_500m,esmc_600m,PyTorch_Concat,0.8848,0.9855,0.7787,0.9887,0.87,0.7863,0.9716,0.9734
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_CrossAttn,0.8876,0.9088,0.8592,0.9155,0.8833,0.7762,0.9633,0.9618
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.8805,0.943,0.8075,0.9521,0.87,0.7685,0.965,0.965
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_Concat_XGBoost,0.8805,0.94,0.8103,0.9493,0.8704,0.7679,0.969,0.9671
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8834,0.8654,0.9052,0.862,0.8848,0.7676,0.9528,0.9495
Train3Val_ClinVarHQ,cls,bio_dna_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.8748,0.9745,0.7672,0.9803,0.8585,0.7663,0.9715,0.9713
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_Gating_XGBoost,0.872,0.9542,0.7787,0.9634,0.8576,0.7562,0.9636,0.9647
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.8706,0.9541,0.7759,0.9634,0.8558,0.7537,0.962,0.9575
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.872,0.9057,0.8276,0.9155,0.8649,0.7464,0.9545,0.9544
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.872,0.8817,0.8563,0.8873,0.8688,0.7442,0.954,0.9526
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.8649,0.9534,0.7644,0.9634,0.8485,0.7437,0.9639,0.9621
Train3Val_ClinVarHQ,cls,bio_geom,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8691,0.8441,0.9023,0.8366,0.8722,0.7401,0.9495,0.95
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_Gating,0.8677,0.8972,0.8276,0.907,0.861,0.7374,0.9483,0.9469
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8677,0.8493,0.8908,0.8451,0.8696,0.7364,0.9508,0.9507
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_Gating,0.8606,0.9223,0.7845,0.9352,0.8478,0.7288,0.9513,0.9495
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_Concat,0.8521,0.915,0.773,0.9296,0.838,0.7121,0.9464,0.9421
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_Gating_XGBoost,0.8535,0.8889,0.8046,0.9014,0.8446,0.7098,0.9352,0.938
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_CrossAttn,0.8407,0.9646,0.704,0.9746,0.814,0.7064,0.9678,0.9669
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_Concat,0.845,0.9253,0.7471,0.9408,0.8267,0.7022,0.9539,0.9525
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_Gating,0.8435,0.9281,0.7414,0.9437,0.8243,0.7005,0.9508,0.9483
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,PyTorch_Transformer,0.845,0.9051,0.7672,0.9211,0.8305,0.6974,0.948,0.947
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,PyTorch_Transformer,0.8364,0.943,0.7126,0.9577,0.8118,0.6927,0.9553,0.954
Train3Val_ClinVarHQ,mean,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8321,0.9107,0.7328,0.9296,0.8121,0.6764,0.9435,0.9416
Train3Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.8336,0.8598,0.7931,0.8732,0.8251,0.6688,0.9167,0.9215
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_Concat_XGBoost,0.8336,0.8407,0.819,0.8479,0.8297,0.6672,0.9115,0.915
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_Transformer_XGBoost,0.8336,0.8407,0.819,0.8479,0.8297,0.6672,0.9048,0.9061
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.8307,0.8438,0.8075,0.8535,0.8253,0.6619,0.903,0.911
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Concat,0.8307,0.8262,0.8333,0.8282,0.8298,0.6615,0.9046,0.9121
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_Concat_XGBoost,0.8307,0.8378,0.8161,0.8451,0.8268,0.6615,0.8991,0.9005
Train3Val_ClinVarHQ,center,prot,,esmc_600m,Pure_XGBoost_Concat,0.8307,0.8338,0.8218,0.8394,0.8278,0.6614,0.9017,0.9019
Train3Val_ClinVarHQ,center,prot,None,esmc_600m,Pure_XGBoost_Concat,0.8307,0.8338,0.8218,0.8394,0.8278,0.6614,0.9017,0.9019
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_CrossAttn,0.8293,0.8434,0.8046,0.8535,0.8235,0.6591,0.9043,0.9061
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Pure_XGBoost_Concat,0.8293,0.8393,0.8103,0.8479,0.8246,0.6588,0.8937,0.8748
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_Gating_XGBoost,0.8293,0.8353,0.8161,0.8423,0.8256,0.6587,0.8929,0.8961
Train3Val_ClinVarHQ,center,prot,,esmc_600m,Hybrid_Concat_XGBoost,0.8293,0.8333,0.819,0.8394,0.8261,0.6586,0.9055,0.9042
Train3Val_ClinVarHQ,center,prot,None,esmc_600m,Hybrid_Concat_XGBoost,0.8293,0.8333,0.819,0.8394,0.8261,0.6586,0.9055,0.9042
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_Concat_XGBoost,0.8279,0.845,0.7989,0.8563,0.8213,0.6565,0.9013,0.9081
Train3Val_ClinVarHQ,cls,bio_dna_geom_prot,nt_v2_500m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.8122,0.9538,0.6523,0.969,0.7747,0.6564,0.9458,0.9491
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_Transformer_XGBoost,0.8279,0.8368,0.8103,0.8451,0.8234,0.6559,0.8938,0.9043
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,PyTorch_CrossAttn,0.8279,0.8348,0.8132,0.8423,0.8239,0.6559,0.8918,0.8876
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Pure_XGBoost_Concat,0.8279,0.829,0.8218,0.8338,0.8254,0.6557,0.8911,0.8958
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.825,0.8338,0.8075,0.8423,0.8204,0.6502,0.9034,0.9114
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.825,0.8205,0.8276,0.8225,0.824,0.6501,0.9097,0.9174
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Transformer,0.8236,0.8544,0.7759,0.8704,0.8133,0.6496,0.892,0.9033
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.8236,0.8237,0.819,0.8282,0.8213,0.6472,0.8996,0.9106
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Gating,0.8222,0.8474,0.7816,0.862,0.8132,0.646,0.899,0.9085
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,Pure_XGBoost_Concat,0.8222,0.841,0.7902,0.8535,0.8148,0.6453,0.9002,0.9016
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_Gating_XGBoost,0.8193,0.8721,0.7443,0.893,0.8031,0.645,0.8956,0.9034
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Pure_XGBoost_Concat,0.8208,0.8364,0.7931,0.8479,0.8142,0.6422,0.8979,0.9046
Train3Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm2_650m,Hybrid_Transformer_XGBoost,0.8208,0.8323,0.7989,0.8423,0.8152,0.6419,0.8929,0.885
Train3Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Pure_XGBoost_Concat,0.8208,0.8284,0.8046,0.8366,0.8163,0.6417,0.892,0.8871
Train3Val_ClinVarHQ,center,dna_geom_prot,nt_v1_500m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.8208,0.8153,0.8247,0.8169,0.82,0.6416,0.901,0.909
Train3Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm2_650m,Hybrid_Transformer_XGBoost,0.8193,0.8421,0.7816,0.8563,0.8107,0.64,0.8924,0.8763
